,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
341,363993,SD,662183,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",18.0,0.125
342,363993,SD,662183,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",520.0,2.0
343,363993,SD,662183,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",288.0,2.0
344,363993,SD,662183,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",108.0,1.0
345,363993,SD,662759,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",60.0,0.230769
346,363993,SD,662759,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",34.0,0.125
347,363993,SD,662759,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",29.0,0.076923
348,363993,SD,662759,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",816.0,3.0
349,363993,SD,662759,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",80.0,1.0
350,363993,SD,662759,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",20.0,0.076923
351,363993,SD,662947,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",216.0,2.0
352,363993,SD,663517,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",36.0,0.25
353,363993,SD,663517,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",5.0,0.013263
354,363993,SD,663517,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",5.0,0.0625
355,363993,SD,663517,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",5.0,0.013263
356,363993,SD,663519,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",136.0,0.5
357,363993,SD,663519,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",5.0,0.0625
358,363993,SD,663519,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",5.0,0.013263
359,363993,SD,663519,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",5.0,0.0625
360,363993,SD,663830,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",34.0,0.125
361,363993,SD,663935,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",544.0,2.0
362,248095,SD,175782,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
