,Depósito Padre,SKU,Descripción,Lote,Fecha de Vencimiento,Dias al Vencimiento,cajas_x_pallets,Cajas Disponibles
580,    CDCDCO1,6011570001               ,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",150323                        ,3/14/2025,394,72,72.0
581,    CDCDCO1,6011570001               ,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",170822                        ,8/17/2024,185,72,0.0
582,    CDCDCO1,6011570002               ,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",120423                        ,4/11/2025,422,60,240.0
583,    CDCDCO1,6011570002               ,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",140323                        ,3/13/2025,393,60,60.0
584,    CDCDCO1,6011570002               ,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",250622                        ,6/24/2024,131,60,88.0
585,    CDCDCO1,6011570005               ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",031122                        ,11/2/2024,262,160,160.0
586,    CDCDCO1,6011570005               ,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.",190622                        ,6/18/2024,125,160,22.0
587,    CDCDCO1,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",123/23                        ,5/2/2025,443,224,0.0
588,    CDCDCO1,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",139/22                        ,5/18/2025,459,224,0.0
589,    CDCDCO1,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",217/22                        ,8/4/2024,172,224,0.0
590,    CDCDCO1,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",9/24                          ,1/8/2026,694,224,224.0
591,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",011123                        ,7/28/2024,165,260,4680.0
592,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",030523                        ,11/29/2024,289,260,0.0
593,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",071023                        ,7/3/2024,140,260,0.0
594,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",111023                        ,7/7/2024,144,260,5670.0
595,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",111123                        ,8/7/2024,175,260,5980.0
596,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",121023                        ,7/8/2024,145,260,780.0
597,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",121123                        ,8/8/2024,176,260,8580.0
598,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",151023                        ,7/11/2024,148,260,260.0
599,    CDCDCO1,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",201123                        ,8/16/2024,184,260,7020.0
600,    CDCDCO1,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",101123                        ,8/6/2024,174,144,0.0
601,    CDCDCO1,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",120124                        ,10/8/2024,237,144,4032.0
602,    CDCDCO1,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",121123                        ,8/8/2024,176,144,0.0
603,    CDCDCO1,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",131123                        ,8/9/2024,177,144,132.0
604,    CDCDCO1,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",211023                        ,7/17/2024,154,144,0.0
