,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
209,344134,SD,175896,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",18.0,720.0
210,344134,SD,175896,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.083333,16.0
211,344134,SD,663759,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
212,344134,SD,663759,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.076923,20.0
213,344134,SD,663764,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",4.0,1040.0
214,344134,SD,663764,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1.666667,210.0
215,344134,SD,663764,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",2.0,216.0
216,344134,SD,663764,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.384615,100.0
217,255871,SD,175891,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",2.0,144.0
218,255871,SD,175891,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",3.0,150.0
219,255871,SD,663349,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.694444,100.0
220,255871,SD,663749,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.192308,50.0
221,255871,SD,663749,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.384615,100.0
222,255871,SD,663749,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.694444,100.0
223,255871,SD,663749,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.384615,100.0
224,255871,SD,663749,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.347222,50.0
225,255871,SD,663749,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",0.166667,18.0
226,319406,SD,175798,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",4.0,240.0
227,304576,SD,175894,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",0.054054,10.0
228,304576,SD,175894,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.125,20.0
229,304576,SD,175894,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",0.125,20.0
230,304576,SD,175894,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",6.0,300.0
231,304576,SD,175894,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",0.142857,32.0
232,304576,SD,175894,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",0.142857,32.0
233,304576,SD,663755,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",2.0,544.0
234,245262,SD,663567,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",3.0,780.0
235,245262,SD,663567,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",8.0,2080.0
236,245262,SD,663567,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",11.0,1584.0
237,245262,SD,663567,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",4.0,1040.0
238,301161,SD,175867,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",1.339286,300.0
239,301161,SD,175867,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",2.111607,473.0
240,301161,SD,175882,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",2.625,420.0
241,301161,SD,175883,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",0.347222,50.0
242,301161,SD,175883,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",0.366667,22.0
